game[109] stats={'a': -1, 'b': 0, 'c': -1, 'd': -0.5, 'e': -0.5} media=41.4
game[110] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': -0.5, 'e': -0.5} media=7.0
game[111] stats={'a': 0.0, 'b': 0, 'c': -1, 'd': -0.5, 'e': -0.5} media=0.0
game[112] stats={'a': -1, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': -0.5} media=19.0
game[113] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': -0.5} media=1.6
game[114] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': -0.5, 'e': -0.5} media=0.0
game[115] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': -0.5} media=19.6
game[116] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': -0.5} media=5.2
game[117] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': -0.5, 'e': -0.5} media=0.0
game[118] stats={'a': -1, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=63.6
game[119] stats={'a': -0.5, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=40.0
game[120] stats={'a': 0.0, 'b': 0, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=0.2
game[121] stats={'a': -1, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=27.2
game[122] stats={'a': -0.5, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=49.2
game[123] stats={'a': 0.0, 'b': 0.5, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=0.2
game[124] stats={'a': -1, 'b': 1.0, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=33.2
game[125] stats={'a': -0.5, 'b': 1.0, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=52.4
game[126] stats={'a': 0.0, 'b': 1.0, 'c': -0.5, 'd': -0.5, 'e': -0.5} media=0.2
game[127] stats={'a': -1, 'b': 0, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=61.6
game[128] stats={'a': -0.5, 'b': 0, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=59.6
game[129] stats={'a': 0.0, 'b': 0, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=27.8
game[130] stats={'a': -1, 'b': 0.5, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=34.8
game[131] stats={'a': -0.5, 'b': 0.5, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=79.4
game[132] stats={'a': 0.0, 'b': 0.5, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=32.4
game[133] stats={'a': -1, 'b': 1.0, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=57.0
game[134] stats={'a': -0.5, 'b': 1.0, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=92.2
game[135] stats={'a': 0.0, 'b': 1.0, 'c': 0.0, 'd': -0.5, 'e': -0.5} media=21.0
game[136] stats={'a': -1, 'b': 0, 'c': -1, 'd': 0.0, 'e': -0.5} media=42.2
game[137] stats={'a': -0.5, 'b': 0, 'c': -1, 'd': 0.0, 'e': -0.5} media=4.2
game[138] stats={'a': 0.0, 'b': 0, 'c': -1, 'd': 0.0, 'e': -0.5} media=0.0
game[139] stats={'a': -1, 'b': 0.5, 'c': -1, 'd': 0.0, 'e': -0.5} media=52.6
game[140] stats={'a': -0.5, 'b': 0.5, 'c': -1, 'd': 0.0, 'e': -0.5} media=11.0
game[141] stats={'a': 0.0, 'b': 0.5, 'c': -1, 'd': 0.0, 'e': -0.5} media=0.0
game[142] stats={'a': -1, 'b': 1.0, 'c': -1, 'd': 0.0, 'e': -0.5} media=62.6
game[143] stats={'a': -0.5, 'b': 1.0, 'c': -1, 'd': 0.0, 'e': -0.5} media=9.6
game[144] stats={'a': 0.0, 'b': 1.0, 'c': -1, 'd': 0.0, 'e': -0.5} media=0.2
game[145] stats={'a': -1, 'b': 0, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=32.6
game[146] stats={'a': -0.5, 'b': 0, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=49.2
game[147] stats={'a': 0.0, 'b': 0, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=0.0
game[148] stats={'a': -1, 'b': 0.5, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=22.0
game[149] stats={'a': -0.5, 'b': 0.5, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=61.4
game[150] stats={'a': 0.0, 'b': 0.5, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=0.0
game[151] stats={'a': -1, 'b': 1.0, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=32.0
game[152] stats={'a': -0.5, 'b': 1.0, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=40.2
game[153] stats={'a': 0.0, 'b': 1.0, 'c': -0.5, 'd': 0.0, 'e': -0.5} media=0.0
game[154] stats={'a': -1, 'b': 0, 'c': 0.0, 'd': 0.0, 'e': -0.5} media=64.6
